term_id,term,regex,term_family,source_basis,equity_financing_access_signal,financing_disclosure_context_signal,general_financing_disclosure_scope,nonfinancing_compensation_accounting_exclusion
term_0329_0ae3ac22,\bliquidity and capital resources\b,\bliquidity and capital resources\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0331_a43a48c2,\bliquidity\b,\bliquidity\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0335_8615db83,\bmanagement'?s discussion and analysis\b,\bmanagement'?s discussion and analysis\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0338_cde8401f,\bmaterial cash requirements?\b,\bmaterial cash requirements?\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0341_170fd0d1,\bmay be unable to (?:raise|obtain|access|secure|fund|finance)\b,\bmay be unable to (?:raise|obtain|access|secure|fund|finance)\b,Financial constraint and going-concern context,SEC comment-letter usage for financing stress and going-concern disclosure contexts,0,1,0,0
term_0345_6f58b124,\bMD&A\b,\bMD&A\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0451_c4547157,\bsubstantial doubt\b,\bsubstantial doubt\b,Financial constraint and going-concern context,SEC comment-letter usage for financing stress and going-concern disclosure contexts,0,1,0,0
term_0465_f5255c50,\bworking capital\b,\bworking capital\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0204_27602930,\baccess capital\b,\baccess capital\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,0,0,1,0
term_0206_bef22f84,\baccess to (?:the )?capital markets?\b,\baccess to (?:the )?capital markets?\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,0,0,1,0
term_0207_32a84d22,\baccess to capital\b,\baccess to capital\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,0,0,1,0
term_0211_5f0aba97,\badditional financing\b,\badditional financing\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,0,0,1,0
term_0229_7644d44a,\bborrowings?\b,\bborrowings?\b,Debt and credit financing,SEC financing-disclosure rationale and SEC comment-letter usage,0,0,1,0
term_0251_117f9d20,\bconvertible notes?\b,\bconvertible notes?\b,Debt and credit financing,SEC financing-disclosure rationale and SEC comment-letter usage,0,0,1,0
term_0256_3a31dc14,\bcredit facility\b,\bcredit facility\b,Debt and credit financing,SEC financing-disclosure rationale and SEC comment-letter usage,0,0,1,0
term_0260_ae427b35,\bdebt financing\b,\bdebt financing\b,Debt and credit financing,SEC financing-disclosure rationale and SEC comment-letter usage,0,0,1,0
term_0261_328750c5,\bdebt financings\b,\bdebt financings\b,Debt and credit financing,SEC financing-disclosure rationale and SEC comment-letter usage,0,0,1,0
term_0262_93ab090a,\bdebt securities\b,\bdebt securities\b,Debt and credit financing,SEC financing-disclosure rationale and SEC comment-letter usage,0,0,1,0
term_0287_65b5e5a7,\bexternal financing\b,\bexternal financing\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,0,0,1,0
term_0291_3c75b9a3,\bfinancing sources?\b,\bfinancing sources?\b,Source-of-funds and liquidity,SEC MD&A liquidity/source-of-funds language and SEC comment-letter usage,0,0,1,0
term_0298_2d8a4107,\bfuture financing\b,\bfuture financing\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,0,0,1,0
term_0327_b4282727,\bline of credit\b,\bline of credit\b,Debt and credit financing,SEC financing-disclosure rationale and SEC comment-letter usage,0,0,1,0
term_0353_e8fee234,\bnotes payable\b,\bnotes payable\b,Debt and credit financing,SEC financing-disclosure rationale and SEC comment-letter usage,0,0,1,0
term_0356_26ed8041,\bobtain (?:additional )?financing\b,\bobtain (?:additional )?financing\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,0,0,1,0
